GESAMT_SOLL;ZCH1_SOLL;ZCH2_SOLL;ZCH3_SOLL
15;13;1;1
15;12;2;1
15;11;3;1
15;11;2;2
15;10;4;1
15;10;3;2
15;9;5;1
15;9;4;2
15;9;3;3
15;8;6;1
15;8;5;2
15;8;4;3
15;7;7;1
15;7;6;2
15;7;5;3
15;7;4;4
15;6;6;3
15;6;5;4
15;5;5;5
14;12;1;1
14;11;2;1
14;10;3;1
14;10;2;2
14;9;4;1
14;9;3;2
14;8;5;1
14;8;4;2
14;8;3;3
14;7;6;1
14;7;5;2
14;7;4;3
14;6;6;2
14;6;5;3
14;6;4;4
14;5;5;4
13;11;1;1
13;10;2;1
13;9;3;1
13;9;2;2
13;8;4;1
13;8;3;2
13;7;5;1
13;7;4;2
13;7;3;3
13;6;6;1
13;6;5;2
13;6;4;3
13;5;5;3
13;5;4;4
12;10;1;1
12;9;2;1
12;8;3;1
12;8;2;2
12;7;4;1
12;7;3;2
12;6;5;1
12;6;4;2
12;6;3;3
12;5;5;2
12;5;4;3
12;4;4;4
11;9;1;1
11;8;2;1
11;7;3;1
11;7;2;2
11;6;4;1
11;6;3;2
11;5;5;1
11;5;4;2
11;5;3;3
11;4;4;3
10;8;1;1
10;7;2;1
10;6;3;1
10;6;2;2
10;5;4;1
10;5;3;2
10;4;4;2
10;4;3;3
9;7;1;1
9;6;2;1
9;5;3;1
9;5;2;2
9;4;4;1
9;4;3;2
9;3;3;3
8;6;1;1
8;5;2;1
8;4;3;1
8;4;2;2
8;3;3;2
7;5;1;1
7;4;2;1
7;3;3;1
7;3;2;2
6;4;1;1
6;3;2;1
6;2;2;2
5;3;1;1
5;2;2;1
4;2;1;1
3;1;1;1